ID,Artigo,Veiculo,Ano,DOI,Qualis_insumo,SJR_insumo,Tipo_Paradigma,Dominio,RQ1,RQ2,RQ3,RQ4,RQ5,SCORE_RQ,QA1,QA2,QA3,QA4,SCORE_QA,Banda,Elegibilidade,Recomendacao
P43,A Practical Approach to Defining a Framework for Developing an Agentic AIOps System,Electronics,2025,10.3390/electronics14091775,A2,Q2,Framework Agentic AIOps (conceitual),AIOps/incident management,T,P,N,P,T,3.0,Y,P,N,P,2.0,Media,Elegivel (verif. externa 2026-09-09),Incluir c/ ressalvas (sem evidencia empirica)
P52,Application of Large Language Models in Cybersecurity: A Systematic Literature Review,IEEE Access,2024,10.1109/access.2024.3505983,A1,Q1,SLR (secundario),LLM em ciberseguranca,P,P,P,T,T,3.5,Y,Y,N,P,2.5,Media,Elegivel (verif. externa 2026-09-09),Incluir c/ ressalvas (fundacional)
P53,Anomaly Detection and Root Cause Analysis in Cloud-Native Environments Using Large Language Models and Bayesian Networks,IEEE Access,2025,10.1109/access.2025.3565220,A1,Q1,Pipeline LLM + Bayesian networks,RCA cloud-native,P,T,P,P,T,3.5,Y,P,Y,P,3.0,Alta,Elegivel (verif. externa 2026-09-09),Incluir c/ ressalvas
P54,From LLM Reasoning to Autonomous AI Agents: A Comprehensive Review,IEEE Access,2026,10.1109/access.2026.3698694,A1,Q1,Review agentico (secundario),Agentes autonomos (fundamentos),T,T,P,T,T,4.5,Y,P,N,P,2.0,Media,Elegivel (verif. externa 2026-09-09),Incluir c/ ressalvas (fundacional)
P55,Telemetry and Agentic AI: Foundations for Optical Network Automation,IEEE Access,2025,10.1109/access.2025.3649768,A1,Q1,Survey agentico,Automacao de redes opticas,T,T,P,T,T,4.5,Y,P,N,Y,2.5,Media,Elegivel (verif. externa 2026-09-09),Incluir c/ ressalvas (mapeamento)
P62,"A Neuroergonomics Approach to Mental Workload, Engagement and Human Performance",Frontiers in Neuroscience,2020,10.3389/fnins.2020.00268,A3,Q2,Review neuroergonomia (nao-agentico),Carga cognitiva (nao-TI),P,N,P,P,P,2.0,P,N,N,Y,1.5,Media,Elegivel por emenda 2026-09-09 (Qualis A3),Incluir c/ ressalvas (estrato A3; cognitive load)
P63,The Chatbot Usability Scale: the Design and Pilot of a Usability Scale for Interaction with AI-Based Conversational Agents,Personal and Ubiquitous Computing,2021,10.1007/s00779-021-01582-9,A1,Q2,Instrumento HCI (escala BUS-15),Usabilidade de conversational agents,P,N,P,P,P,2.0,P,Y,Y,Y,3.5,Alta,Elegivel (verif. externa 2026-09-09),Incluir c/ ressalvas (instrumento)
P69,WAUC: A Multi-Modal Database for Mental Workload Assessment Under Physical Activity,Frontiers in Neuroscience,2020,10.3389/fnins.2020.549524,A3,Q2,Database multimodal (nao-agentico),Mental workload (nao-TI),N,N,P,N,P,1.0,P,Y,Y,Y,3.5,Alta,Elegivel por emenda 2026-09-09 (Qualis A3),Incluir c/ ressalvas (estrato A3; cognitive load)
P72,From Vulnerability to Defense: The Role of Large Language Models in Enhancing Cybersecurity,Computation,2025,10.3390/computation13020030,A2,Q2,Mapping (secundario),LLM em ciberseguranca,P,P,P,T,T,3.5,Y,N,N,P,1.5,Media,Elegivel (verif. externa 2026-09-09),Incluir c/ ressalvas (fundacional)
P73,Breaking Alert Fatigue: AI-Assisted SIEM Framework for Effective Incident Response,Applied Sciences,2023,10.3390/app13116610,A2,Q2,Framework AI-assisted SIEM,SOC / alert fatigue,P,P,T,T,P,3.5,Y,Y,Y,Y,4.0,Alta,Elegivel (verif. externa 2026-09-09),Incluir c/ ressalvas (agencia limitada)
P74,Transitioning from MLOps to LLMOps: Navigating the Unique Challenges of Large Language Models,Information,2025,10.3390/info16020087,A2,Q2,Review narrativa (secundario),LLMOps,N,P,P,T,T,3.0,P,N,N,P,1.0,Baixa,Elegivel (verif. externa 2026-09-09),Incluir c/ ressalvas (fonte conceitual LLMOps)
P76,Toward Robust Security Orchestration and Automated Response in Security Operations Centers with a Hyper-Automation Approach Using Agentic Artificial Intelligence,Information,2025,10.3390/info16050365,A2,Q2,Agentic AI + SOAR (PoC),SOC / IR,T,T,P,P,T,4.0,Y,P,P,P,2.5,Media,Elegivel (verif. externa 2026-09-09),Incluir c/ ressalvas (PoC; MTTR vs literatura)
P77,Generative AI revolution in cybersecurity: a comprehensive review of threat intelligence and operations,Artificial Intelligence Review,2025,10.1007/s10462-025-11219-5,A1,Q1,Review (secundario),GenAI em ciberseguranca,P,P,P,T,T,3.5,Y,N,N,P,1.5,Media,Elegivel (verif. externa 2026-09-09),Incluir c/ ressalvas (fundacional)
P78,Advancing Cyber Incident Timeline Analysis Through Retrieval-Augmented Generation and Large Language Models,Computers,2025,10.3390/computers14020067,A2,Q1,Framework RAG + LLM,IR forense / timeline,P,T,P,T,T,4.0,Y,Y,P,Y,3.5,Alta,Elegivel (verif. externa 2026-09-09),Incluir c/ ressalvas
