ID,Artigo,Veiculo,Ano,DOI,Qualis_insumo,SJR_insumo,Tipo_Paradigma,Dominio,RQ1,RQ2,RQ3,RQ4,RQ5,SCORE_RQ,QA1,QA2,QA3,QA4,SCORE_QA,Banda,Elegibilidade,Recomendacao
P20,LLM Agentic Workflow for Automated Vulnerability Detection and Remediation in IaC,IEEE Access,2025,10.1109/ACCESS.2025.3560911,A1,Q1,LLM+RAG multiagente,IaC (prevencao),P,T,T,P,T,4.0,Y,P,P,Y,3.0,Alta,Elegivel (pendente verif. externa),Incluir c/ ressalvas
P21,Small Language Model Agent for the Operations of Continuously Updating ICT Systems,IEEE Access,2025,10.1109/ACCESS.2025.3544637,A1,Q1,SLM-agente,ICT ops / AIOps,T,T,T,P,T,4.5,Y,Y,Y,Y,4.0,Alta,Elegivel (pendente verif. externa),Incluir
P22,ARM: Autonomous Remediation and Management With LLM Agents for Intent-Driven Control,IEEE Internet of Things Journal,2025,10.1109/JIOT.2025.3648858,A1,Q1,LLM-agente closed-loop,Remediacao IoT/edge,T,T,T,P,T,4.5,Y,Y,Y,Y,4.0,Alta,Elegivel (pendente verif. externa),Incluir
P23,TAMO: Fine-Grained Root Cause Analysis via Tool-Assisted LLM Agent,IEEE Trans. Services Computing,2025,10.1109/TSC.2025.3629066,A1,Q1,LLM + tools,RCA cloud-native,P,T,T,P,P,3.5,Y,Y,Y,P,3.5,Alta,Elegivel (pendente verif. externa),Incluir c/ ressalvas
P24,AgentAI: A comprehensive survey on autonomous agents in distributed AI for industry 4.0,Elsevier ESWA,2025,10.1016/j.eswa.2025.128404,A1,Q1,Survey agentico (secundario),Industry 4.0,T,P,P,T,T,4.0,Y,Y,N,P,2.5,Media,Elegivel (pendente verif. externa),Incluir c/ ressalvas (fundacional)
P25,AI-driven multi-agent framework for adaptive cyber attack simulation and automated IR,Scientific Reports,2026,10.1038/s41598-026-45937-9,A1,Q1,MAS/RL (nao-LLM),Cyber range / IR,T,T,T,P,T,4.5,Y,Y,Y,Y,4.0,Alta,Elegivel (pendente verif. externa),Incluir
P26,Surveying Root Cause Analysis Techniques: A Comprehensive Review,IEEE Trans. Services Computing,2025,10.1109/TSC.2025.3631913,A1,Q1,"Survey RCA (secundario, nao-agentico)",RCA,N,P,P,P,T,2.5,Y,P,N,Y,2.5,Media,Elegivel (pendente verif. externa),Excluir (relevancia/tipo)
P27,Leveraging multi-agent framework for root cause analysis (MA-RCA),Complex & Intelligent Systems,2025,10.1007/s40747-025-02096-0,A1,Q1,LLM multi-agente,RCA,T,T,T,P,T,4.5,Y,Y,Y,Y,4.0,Alta,Elegivel (pendente verif. externa),Incluir
P28,A Multi-Agent System for Cybersecurity Threat Detection and Correlation Using LLMs,IEEE Access,2025,10.1109/ACCESS.2025.3602681,A1,Q1,LLM multi-agente,SOC / deteccao,T,T,T,P,T,4.5,Y,P,Y,Y,3.5,Alta,Elegivel (pendente verif. externa),Incluir
P29,AIOps for log anomaly detection in the era of LLMs: A systematic literature review,Elsevier ISwA,2025,10.1016/j.iswa.2025.200608,A2,Q1,"SLR (secundario, nao-agentico)",Anomaly detection,N,P,P,P,T,2.5,Y,P,N,Y,2.5,Media,Elegivel (pendente verif. externa),Excluir (relevancia/tipo)
P30,Reliability of LLM Inference Engines: RCA and Repair Suggestion via NL Reports,MDPI BDCC,2026,10.3390/bdcc10020060,A2,Q1,Pipeline LLM (nao-agentico),Bug triage (inference engines),N,P,T,P,T,3.0,Y,Y,Y,Y,4.0,Alta,Elegivel (pendente verif. externa),Excluir (relevancia/tipo)
P31,LEMAD: LLM-Empowered Multi-Agent System for Anomaly Detection in Power Grid Services,MDPI Electronics,2025,10.3390/electronics14153008,A2,Q2,LLM multi-agente,AIOps rede eletrica,T,T,T,P,T,4.5,Y,P,Y,Y,3.5,Alta,Elegivel (pendente verif. externa),Incluir
P32,GALR: Graph-Based Root Cause Localization and LLM-Assisted Recovery,MDPI Electronics,2026,10.3390/electronics15010243,A2,Q2,GNN + LLM agent,RCA / recovery,P,T,T,P,T,4.0,Y,P,Y,Y,3.5,Alta,Elegivel (pendente verif. externa),Incluir c/ ressalvas
P33,"A Review of Agentic AI in Cybersecurity: Cognitive Autonomy, Ethical Governance...",F1000Research,2025,10.12688/f1000research.169337.1,A2,Q1,Review agentico (secundario),Ciberseguranca,T,P,P,T,T,4.0,Y,P,N,Y,2.5,Media,Elegivel (pendente verif. externa),Incluir c/ ressalvas (fundacional)
P34,Analysing the role of LLMs in cybersecurity incident management,Springer Int. J. Information Security,2025,10.1007/s10207-025-01144-7,A2,Q2,LLM copilot (nao-agentico),IR (NIST 800-61),P,P,T,T,T,4.0,Y,Y,Y,Y,4.0,Alta,Elegivel (pendente verif. externa),Incluir c/ ressalvas
P35,Graph-Augmented Multi-Agent Robust Root Cause Analysis in AIOps,"Computers, Materials & Continua",2026,10.32604/cmc.2026.077908,A2,Q2,LLM multi-agente,RCA AIOps,T,T,T,P,P,4.0,Y,Y,Y,Y,4.0,Alta,Elegivel (pendente verif. externa),Incluir
P37,"Empirical Study on Automation, AI Trust, and Framework Readiness in Cybersecurity IR",MDPI Algorithms,2026,10.3390/a19010062,A2,Q2,Survey de percepcao (primario),IR (adocao/governanca),P,N,P,T,T,3.0,Y,Y,Y,Y,4.0,Alta,Elegivel (pendente verif. externa),Incluir c/ ressalvas
P38,Multi-Agent Coordination Strategies vs. RAG in LLMs: A Comparative Evaluation,MDPI Electronics,2025,10.3390/electronics14244883,A2,Q2,Multi-agente vs RAG,Agricultura (Q&A),P,T,P,P,T,3.5,Y,Y,Y,Y,4.0,Alta,Elegivel (pendente verif. externa),Excluir (dominio)
P39,Agentic AI and the Cyber Arms Race,IEEE Computer (coluna Cybertrust),2025,10.1109/MC.2025.3544116,A3,Q1,Opiniao/perspectiva (nao-empirico),Ciberseguranca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,INELEGIVEL (Qualis A3),Excluir (INELEGIVEL - Qualis A3)
