Field,Extraction
"Title","Leveraging multi-agent framework for root cause analysis"
"Authors","Feng Fu; Hong Ding; Yong Qin; Jian Yu; Dechao Xu"
"Year & Venue","2026 (journal issue; published online 6 November 2025); Complex & Intelligent Systems, vol. 12, article 4, Springer; DOI 10.1007/s40747-025-02096-0"
"Core Problem Addressed","Automated root cause analysis (RCA) in complex integrated systems (cloud-native platforms, distributed power metering infrastructures) faces three challenges: complex mapping between anomalies and runtime data, semantic gap between unstructured logs and structured metrics, and combinatorial explosion of causal relationships; additionally, LLM hallucinations and context-switching failures in single-agent multi-step RCA reasoning lead to incorrect root cause identification (Abstract, p. 1; Introduction, pp. 1-2)"
"Proposed Solution / Agentic AI Role","MA-RCA, a collaborative multi-agent framework with four specialized agents: RCA Agent (central orchestrator: semantic parsing of anomaly reports with strict extraction of device type, symptom, device ID, timeframe; agent scheduling; probabilistic root cause synthesis); Retrieval Agent (RAG over a historical anomaly case repository using hybrid keyword+semantic retrieval, cross-encoder reranking, and LLM-based root cause inversion with reverse indices and symptom generalization); Validation Agent (decomposes hypotheses into quantifiable indicators, LSH-based task deduplication, priority-aware toolchain execution via APIs such as Prometheus and Modbus/TCP, TTL cache pool, BERT-embedding semantic similarity confidence scoring); Report Agent (adaptive-template diagnostic reports, PDF export, IEC/NERC compliance); human-in-the-loop: SREs submit natural-language alerts and are re-queried when required parameters are missing; base LLMs tested include QwenMax (best), DeepSeek, LLAMA3.3-70B, Qwen-QwQ (Method, Figs. 1-2, Algorithms 1-2, pp. 3-7; Table 5, p. 10)"
"Methodology","Prototype framework with controlled experimental evaluation on two datasets: (1) Nezha benchmark (open-source, multi-modal observability from OnlineBoutique with 56 fault instances (42 resource, 14 code) and TrainTicket with 45 instances (21 resource, 24 code); stratified 50%/50% split into historical cases vs. evaluation; pre-processed telemetry, not live instrumentation); (2) a proprietary real-world Power monitoring dataset (ICT infrastructure and electrical system faults, 231 instances per Table 2); baselines: CoT, RAG, RCACOPILOT, RCAgent, mABC; metrics: Accuracy, Precision, Recall, F1; plus ablation study (4 variants), base-LLM comparison, retrieval-count sensitivity study, and a real-world system illustration deploying MA-RCA as a ""Diagnosis Agent"" plugin in a power metering system (Evaluation, Tables 1-6, pp. 7-11; System illustration, Figs. 3-4, pp. 11-12)"
"Impact on MTTD & MTTR Metrics","Not specified — no MTTD, MTTR, alert-fatigue, or resolution-time measurements are reported; qualitative statements only: ""the Report Agent reduces manual report generation time"" (Report Agent, p. 7), and the authors acknowledge data collection/validation ""introduce additional latency compared to direct inference methods"" in time-sensitive scenarios (Conclusions, p. 12)"
"General Impact on Agentic AI / Multi-Agent Systems","MA-RCA achieves Nezha Acc = 0.958, F1 = 0.952 (best baseline RCACOPILOT F1 = 0.748) and Power monitoring Acc = 0.843, F1 = 0.828 (best baseline F1 = 0.651) (Table 3, p. 9); ablations: w/o multi-agent F1 drops to 0.716 (Nezha) / 0.680 (Power); w/o Retrieval Agent to 0.295 / 0.144; w/o semantic retrieval to 0.874 / 0.663; w/o Validation Agent to 0.681 / 0.543 (Table 4, p. 10); mABC-style full-workflow multi-agent voting is said to amplify computational overhead (p. 8); performance robust across base LLMs (F1 0.809-0.828, Table 5, p. 10); retrieval count is non-monotonic with optimum at 5 cases (Acc 0.798 at 1 case, 0.843 at 5, 0.812 at 20; Table 6, p. 11)"
"Limitations / Future Work","(1) ""its effectiveness depends heavily on the quality and comprehensiveness of the historical case repository""; sparse or outdated data may constrain the Retrieval Agent; (2) data collection and validation introduce additional latency vs. direct inference, affecting usability in highly time-sensitive scenarios; future work: adaptive retrieval mechanisms to dynamically set the number/relevance of retrieved cases beyond static top-k, and speculative execution/pre-fetching strategies for the agent team to parallelize data collection (Conclusions, p. 12)"
"Relevance to My Thesis","This paper provides a directly reusable multi-agent architecture (orchestrator, retrieval, validation, reporting agents) for the diagnosis phase of incident response, which is the core activity an agentic copilot must automate to reduce MTTR. Its two anti-hallucination mechanisms — RAG grounding in historical incident cases and tool-based hypothesis validation against runtime telemetry — are strong design patterns for a trustworthy SRE copilot, and the ablations quantify how much each agent contributes. The human-in-the-loop input parsing (SRE submits a natural-language alert, agent re-queries for missing fields) matches the copilot interaction model of my thesis. However, evaluation is limited to RCA classification accuracy/F1, so the thesis would need to add MTTD/MTTR instrumentation on top of such a framework; the acknowledged validation latency is a relevant trade-off to measure."
"Relevance Score","Medium — an LLM-based multi-agent framework applied directly to incident root cause analysis (AIOps-adjacent) with strong quantitative results, but it evaluates classification accuracy/F1 and reports no MTTD/MTTR or resolution-time metrics."
"Paper ID","P27"
