ID,Artigo,Arquivo,qualis,sjr_quartile
P1,"Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",P1-A2 - Trustworthy agentic AI systems a cross-layer review of architectures threat models and governance strategies for real-world deployment.pdf,A2,Q1
P2,The Role of Agentic AI in Shaping a Smart Future: A Systematic Review,P2-A1 - The role of agentic AI in shaping a smart future A systematic review.pdf,A1,Q1
P3,"A Research Landscape of Agentic AI and Large Language Models: Applications, Challenges and Future Directions","P3-A2 - A Research Landscape of Agentic AI and Large Language Models Applications, Challenges and Future Directions.pdf",A2,Q2
P4,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision and the Road Ahead",P4-A2 - LLM-Based Multi-Agent Systems for Software Engineering Literature Review Vision and the Road Ahead.pdf,A2,Q1
P5,A Survey of AIOps in the Era of Large Language Models,P5-A1 - A Survey of AIOps in the Era of Large Language Models.pdf,A1,Q1
P6,"Agentic AI: A Comprehensive Survey of Technologies, Applications, and Societal Implications",P6-A1 - Agentic AI A Comprehensive Survey of Technologies Applications and Societal Implications.pdf,A1,Q1
P7,Artificial Empathy: A New Perspective for Analyzing and Designing Multi-Agent Systems,P7-A1 - Artificial_Empathy_A_New_Perspective_for_Analyzing_and_Designing_Multi-Agent_Systems.pdf,A1,Q1
P8,"Applications, Challenges, and Future Directions of Human-in-the-Loop Learning",P8-A1 - Applications_Challenges_and_Future_Directions_of_Human-in-the-Loop_Learning.pdf,A1,Q1
P9,"AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges",P9-A1 - AI Agents vs. Agentic AI A Conceptual taxonomy applications and challenges.pdf,A1,Q1
P10,Agentic AI: Autonomous Intelligence for Complex Goals – A Comprehensive Survey,P10-A1 - Agentic AI Autonomous Intelligence for Complex Goals - A Comprehensive Survey.pdf,A1,Q1
P11,Co-evolving Multi-Agent Transfer Reinforcement Learning via Scenario Independent Representation,P11-A1 - Co-Evolving_Multi-Agent_Transfer_Reinforcement_Learning_via_Scenario_Independent_Representation.pdf,A1,Q1
P12,Enhancing Autonomous System Security and Resilience with Generative AI: A Comprehensive Survey,P12-A1 - Enhancing autonomous system security and resilience with generative AI A comprehensive survey.pdf,A1,Q1
P13,Retail Resilience Engine: An Agentic AI Framework for Building Reliable Retail Systems with Test-Driven Development Approach,P13-A1 - Retail Resilience Engine An Agentic AI Framework for Building Reliable Retail Systems With Test-Driven Development Approach.pdf,A1,Q1
P14,Transforming cybersecurity with agentic AI to combat emerging cyber threats,P14-A1 - Transforming Cybersecurity with Agentic AI to Combat Emerging Cyber Threats.pdf,A1,Q1
P15,"The Rise of Agentic AI: A Review of Definitions, Frameworks, Architectures, Applications, Evaluation Metrics, and Challenges",P15-A2 - The Rise of Agentic AI A Review of Definitions Frameworks Architectures Applications Evaluation Metrics and Challenges.pdf,A2,Q2
P16,"A Joint Study of the Challenges, Opportunities, and Roadmap of MLOps and AIOps: A Systematic Survey",P16-A1 - A Joint Study of the Challenges Opportunities and Roadmap of MLOps and AIOps - A Systematic Survey.pdf,A1,Q1
P17,A Review of Trustworthy and Explainable Artificial Intelligence (XAI),P17-A1 - A_Review_of_Trustworthy_and_Explainable_Artificial_Intelligence_XAI.pdf,A1,Q1
P18,An architecture for model-based and intelligent automation in DevOps,P18-A1 - An architecture for model-based and intelligent automation in DevOps.pdf,A1,Q1
P19,"Agent System Mining: Vision, Benefits, and Challenges",P19-A1 - Agent_System_Mining_Vision_Benefits_and_Challenges.pdf,A1,Q1
