Paper ID,title,authors,year,venue,cluster,paper_type,classification_evidence,citations (2026-09-06),doi,Scopus (Percentil),SJR Quartile,ISSN / e-ISSN,File name (folder: docs)
P01,"Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",IBRAHIM ADABARA; Bashir Olaniyi Sadiq; Aliyu Nuhu Shuaibu; Yale Ibrahim Danjuma; Maninti Venkateswarlu,2025,F1000Research,LLM / agentic ops,unscreened(rule-classified),,25,10.12688/f1000research.169927.1,"79.0%
  139/692
  Arts and Humanities (miscellaneous)",Q1,2046-1402,P01-A2-Trustworthy agentic AI systems a cross-layer review of architectures threat models and governance strategies for real-world deployment.pdf
P02,The role of agentic AI in shaping a smart future: A systematic review,Soodeh Hosseini; Hossein Seilani,2025,Array,LLM / agentic ops,unscreened(rule-classified),,238,10.1016/j.array.2025.100399,"86.0%
  32/241
  General Computer Science",Q1,2590-0056,P02-A1-The role of agentic AI in shaping a smart future A systematic review.pdf
P03,"A Research Landscape of Agentic AI and Large Language Models: Applications, Challenges and Future Directions",Sarfraz Nawaz Brohi; Qurat-ul-ain Mastoi; N. Z. Jhanjhi; Thulasyammal Ramiah Pillai,2025,Algorithms,Security IR / SOC,unscreened(rule-classified),,54,10.3390/a18080499,"84.0%
  34/212
  Computational Mathematics",Q2,1999-4893,"P03-A2-A Research Landscape of Agentic AI and Large Language Models Applications, Challenges and Future Directions.pdf"
P04,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead",Junda He; Christoph Treude; David Lo,2025,ACM Transactions on Software Engineering and Methodology,Agent foundations,unscreened(rule-classified),,184,10.1145/3712003,"89.0%
  53/503
  Software",Q1,1049-331X,P04-A2-LLM-Based Multi-Agent Systems for Software Engineering Literature Review Vision and the Road Ahead.pdf
P05,A Survey of AIOps in the Era of Large Language Models,,2025,ACM Computing Surveys,LLM / agentic ops,survey/position,SLR protocol over 5 databases; AIOps in the LLM era,42,10.1145/3746635,"99.0%
  1/241
  General Computer Science",Q1,0360-0300,P05-A1-A Survey of AIOps in the Era of Large Language Models.pdf
P06,"Agentic AI: A Comprehensive Survey of Technologies, Applications, and Societal Implications",Ashis Kumar Pati,2025,IEEE Access,LLM / agentic ops,unscreened(rule-classified),,78,10.1109/ACCESS.2025.3585609,"91.0%
  31/351
  General Engineering",Q1,2169-3536,P06-A1-Agentic AI A Comprehensive Survey of Technologies Applications and Societal Implications.pdf
P07,Artificial Empathy: A New Perspective for Analyzing and Designing Multi-Agent Systems,Jize Chen; Dali Zhang; Zhenshen Qu; Changhong Wang,2020,IEEE Access,Agent foundations,unscreened(rule-classified),,10,10.1109/ACCESS.2020.3029502,"91.0%
  31/351
  General Engineering",Q1,2169-3536,P07-A1-Artificial_Empathy_A_New_Perspective_for_Analyzing_and_Designing_Multi-Agent_Systems.pdf
P08,"Applications, Challenges, and Future Directions of Human-in-the-Loop Learning",Sushant Kumar; Sumit Datta; Vishakha Singh; Deepanwita Datta; Sanjay Kumar Singh; Ritesh Sharma,2024,IEEE Access,Human factors,unscreened(rule-classified),,158,10.1109/ACCESS.2024.3401547,"91.0%
  31/351
  General Engineering",Q1,2169-3536,P08-A1-Applications_Challenges_and_Future_Directions_of_Human-in-the-Loop_Learning.pdf
P09,"AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges",Ranjan Sapkota; Konstantinos I. Roumeliotis; Manoj Karkee,2025,Information Fusion,Agent foundations,survey/position,,188,10.1016/j.inffus.2025.103599,"99.0%
  1/203
  Signal Processing",Q1,1566-2535,P09-A1-AI Agents vs. Agentic AI A Conceptual taxonomy applications and challenges.pdf
P10,Agentic AI: Autonomous Intelligence for Complex Goals — A Comprehensive Survey,,2025,IEEE Access,Agent foundations,survey/position,"narrative/comprehensive survey of agentic AI, no Kitchenham protocol",620,10.1109/ACCESS.2025.3532853,"91.0%
  31/351
  General Engineering",Q1,2169-3536,P10-A1-Agentic AI Autonomous Intelligence for Complex Goals - A Comprehensive Survey.pdf
